isogroupDN68649_c5_g2	GO:0005789;GO:0016021;GO:0016020;GO:0047184;GO:0106262;GO:0106263;GO:0016746;GO:0071617;GO:0034378;GO:0090158;GO:0036335;GO:0030258;GO:0050728;GO:1903573;GO:0036151;GO:0006656;GO:0036152;GO:0036150;GO:0045797;GO:1901310;GO:1905885;GO:0045540;GO:0097006;GO:0034379
isogroupDN90371_c0_g1	GO:0003677;GO:0008270
isogroupDN12386_c0_g2	GO:0046872;GO:0016491
isogroupDN109465_c0_g1	GO:0005783;GO:0031305;GO:0005743;GO:0005741;GO:0005739;GO:0005744;GO:0030150
isogroupDN70579_c3_g6	GO:0005794;GO:0005887;GO:0045121;GO:0030670;GO:0035355;GO:0042802;GO:0071723;GO:0050135;GO:0061809;GO:0038023;GO:0035663;GO:0004888;GO:0071221;GO:0071726;GO:0042496;GO:0006954;GO:0045087;GO:0002755;GO:0032731;GO:1900227;GO:0034150;GO:0002224
isogroupDN45185_c0_g2	GO:0016021;GO:0005886;GO:0007417;GO:0008203;GO:0007391;GO:0030299;GO:0007422
isogroupDN71570_c0_g2	GO:0005737;GO:0005634;GO:0046872;GO:0004518
isogroupDN56292_c0_g1	GO:0046872
isogroupDN72594_c13_g1	GO:0003824
isogroupDN71903_c4_g2	GO:0005737;GO:0048145
isogroupDN107074_c0_g1	GO:0005737;GO:0035145;GO:0005730;GO:0048471;GO:0005844;GO:0003729;GO:0042742;GO:0009867;GO:0048571;GO:0000184;GO:0009611;GO:0009863
isogroupDN69038_c6_g1	GO:0005634;GO:0003700;GO:0046872;GO:0000978;GO:0035115;GO:0021915;GO:0006357;GO:0019827
isogroupDN71107_c7_g1	GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0030246;GO:0001965;GO:0050982
isogroupDN56685_c0_g1	GO:0005829;GO:0016021;GO:0005743;GO:0005739;GO:0015227;GO:1902603;GO:0001701;GO:0006869
isogroupDN58154_c0_g1	GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:0007628;GO:0048663;GO:0019230;GO:0051960;GO:0006357;GO:0097374;GO:0021522
isogroupDN63750_c1_g2	GO:0005789;GO:0016021;GO:0106245;GO:0006659
isogroupDN62998_c0_g1	GO:0005737;GO:0005871;GO:0005874;GO:0005524;GO:0008017;GO:0048484;GO:0009968;GO:0001560
